,AA10,AA3,CBM13,CBM3,CBM32,CBM34,CBM4,CBM48,CBM5,CBM63,CE1,CE11,CE12,CE2,CE4,CE8,CE9,GH1,GH102,GH103,GH104,GH105,GH108,GH12,GH13,GH153,GH18,GH19,GH2,GH20,GH23,GH24,GH26,GH28,GH3,GH30,GH31,GH32,GH33,GH36,GH38,GH4,GH42,GH43,GH5,GH53,GH65,GH68,GH73,GH77,GH78,GH8,GH88,GH91,GH94,GT1,GT11,GT14,GT19,GT2,GT20,GT25,GT26,GT28,GT30,GT32,GT35,GT4,GT41,GT5,GT51,GT52,GT56,GT73,GT8,GT81,GT83,GT84,GT9,GT97,PL1,PL10,PL11,PL17,PL2,PL22,PL26,PL3,PL4,PL9
CE1,0.0071942446043164795,0.007194244604316458,-0.015393653839644488,0.06175226933812411,0.030957151955392406,,0.012551422350245025,-0.005077974296364744,0.007194244604316409,0.15068344209752935,1.0,-0.005077974296364705,-0.007194244604316482,0.024768179549525662,0.03513060085198763,,-0.008827004392484676,,-0.005077974296364705,,-0.003031179944735251,,0.021564489740532107,0.07783515430536683,,0.03513060085198763,-0.30879838425586364,-0.028791046225256658,0.240014282266529,,,0.0499097248439304,-0.07990638679332315,,,-0.053811853971550846,0.14114716971886393,-0.005077974296364705,-0.010210994787742938,0.1290767381403834,0.023524528286477428,0.014758863732255302,-0.017151922372396152,-0.02156448974053208,0.4030998672568022,-0.017151922372396104,-0.12216599757487567,0.010210994787742934,0.4030998672568026,-0.00882700439248482,0.017947990289086956,-0.025374059634434384,0.017947990289086873,0.024768179549525628,0.06175226933812425,-0.07133450803923369,0.01545714244425136,0.005077974296364539,,,0.007194244604316558,0.030467845778187716,-0.0071942446043163424,-0.005077974296364484,,0.02713703629773389,-0.007194244604316721,-0.005077974296364705,0.043596406564420764,-0.008827004392484655,,0.010210994787742764,-0.00882700439248471,0.011436977194661746,-0.012242552671859763,-0.04476467749212559,-0.020179727270138295,0.06175226933812425,,0.005077974296364613,,0.022231983260291258,-0.13284750849290963,,-0.0071942446043164205,-0.0050779742963643635,0.037017999751257524,-0.007194244604316735,0.2400142822665287,
CE11,0.005077974296364717,0.0050779742963647165,0.04998098910878837,-0.0822313795232397,-0.041880599272690076,,0.008859276210753206,-0.0035842293906812144,0.005077974296364717,-0.015692188097862485,-0.005077974296364705,1.0,0.7058384271946796,0.0174823328977123,0.024796528051770964,,-0.006230438897232228,,1.0,,0.057767128687870116,,0.015221045521712762,-0.06524011343823446,,0.024796528051770964,0.008072657994941557,0.042901634323729516,0.3490899587257618,,,-0.034235857976106794,0.025850457589462632,,,0.03291814445548141,0.21585870860091105,1.0,0.4973045625740722,-0.01790998634391324,0.016604516046223802,-0.05035063695911912,-0.012106485910697363,-0.015221045521713009,-0.006230438897232055,-0.012106485910697424,0.018745533822808597,0.007207312501073479,-0.006230438897231921,-0.006230438897232143,0.012668381236954377,-0.017909986343913123,-0.28292718095865044,0.017482332897712328,0.04358712466532361,-0.050350636959118844,0.010910245111774575,0.003584229390681083,,,0.005077974296364716,-0.1666666666666669,-0.005077974296364912,-0.0035842293906813674,,0.019154363019117517,-0.005077974296364625,1.0,0.09808581069245648,-0.00623043889723213,,0.007207312501073667,-0.006230438897232081,0.008072657994941458,-0.06913011298202833,-0.03159662955491911,0.2516374095837719,0.04358712466532361,,0.003584229390681082,,0.015692188097862353,0.017482332897712713,,-0.0050779742963646055,-0.0035842293906813674,0.09145054352812251,-0.005077974296364354,0.34908995872576193,
CE12,0.00719424460431644,0.007194244604316439,-0.015393653839644562,-0.027374717335457106,-0.05933454124783525,,0.012551422350245006,-0.005077974296364884,0.007194244604316436,0.15068344209752935,-0.007194244604316482,0.7058384271946796,1.0,0.024768179549525635,0.035130600851987596,,-0.00882700439248478,,0.7058384271946796,,-0.003031179944735414,,0.02156448974053218,-0.00729704571612795,,0.035130600851987596,-0.3087983842558638,0.06078109758665275,0.24001428226652893,,,-0.04850381710184733,0.03662376061360615,,,0.04663694010867716,0.1411471697188639,0.7058384271946796,0.34717382278325803,-0.025374059634434367,0.023524528286477407,-0.07133450803923361,-0.017151922372396163,-0.02156448974053205,-0.00882700439248458,-0.017151922372396163,-0.12216599757487577,0.010210994787742853,-0.00882700439248472,0.4030998672568023,0.017947990289086946,-0.025374059634434353,-0.1914452297502606,0.024768179549525576,0.06175226933812434,-0.07133450803923382,0.015457142444251304,0.005077974296364526,,,0.0071942446043164725,-0.10282897950138321,-0.007194244604316687,-0.005077974296364698,,0.027137036297733907,-0.007194244604316819,0.7058384271946796,0.04359640656442072,-0.008827004392484938,,0.01021099478774272,-0.008827004392484688,0.011436977194661706,-0.09794042137487825,-0.04476467749212566,0.168164393917819,0.06175226933812434,,0.005077974296364523,,0.022231983260291185,-0.13284750849290972,,-0.00719424460431629,-0.005077974296364699,0.12956299912940136,-0.007194244604316736,0.2400142822665287,
CE2,-0.02476817954952555,-0.02476817954952555,-0.24378581695374232,-0.21259928994346705,-0.41743273022152405,,-0.043211747649818825,0.017482332897712297,-0.02476817954952555,0.07653975968547862,0.024768179549525662,0.0174823328977123,0.024768179549525635,1.0,-0.12094682311227917,,0.030389407325174117,,0.0174823328977123,,0.3026346175551479,,-0.07424172837644835,-0.2679690757169486,,-0.12094682311227917,-0.03937496154790788,0.4074980632624253,0.050079735783653205,,,-0.01782083495775539,-0.1260874391332736,,,-0.16056058276905424,0.08098970391801354,0.0174823328977123,0.035154177567209906,0.08735722782471944,-0.08098970391801356,-0.3472117524929606,0.059050243118525775,0.07424172837644835,0.030389407325174072,0.05905024311852578,-0.09143266987535163,-0.03515417756720985,0.03038940732517429,0.0303894073251741,0.2003524009591657,0.08735722782471943,-0.06179092739862118,0.9506694855532068,0.37319444242185046,0.24558880054380167,-0.05321549383407167,-0.017482332897712553,,,-0.024768179549525555,-0.10489399738627528,0.024768179549525697,0.017482332897712463,,-0.09342676325753296,0.02476817954952541,0.0174823328977123,0.17823508593437268,0.030389407325174277,,-0.03515417756720982,0.03038940732517411,-0.0393749615479079,-0.25289026942943665,0.12195970028721669,0.06947430005192669,0.37319444242185046,,-0.017482332897712553,,-0.07653975968547863,-0.08527131782945739,,-0.1328475084929096,0.017482332897712543,0.1622023665208266,0.024768179549525537,0.05007973578365312,
CE4,-0.03513060085198753,-0.03513060085198752,0.2907779165972548,0.4415140204016604,0.2897396738585758,,-0.061290522210853224,-0.1445456147408112,0.20478569764939092,0.10856218727908505,0.03513060085198763,0.024796528051770964,0.035130600851987596,-0.12094682311227917,1.0,,0.043103617556326024,,0.024796528051770964,,-0.3187784419926589,,-0.020697950948476054,0.43106748423324165,,1.0,0.096713282814814,-0.27546711203611796,-0.05024208576607284,,,-0.138226216706548,-0.17883944549833344,,,-0.22773533818032277,0.075648654705576,0.024796528051770964,0.049861855124399036,-0.13362865415325234,-0.11487388307143018,-0.12333896215227358,0.031756508611468934,0.10530271394954616,0.04310361755632598,0.03175650861146895,0.6496949252956881,-0.04986185512439895,0.043103617556325975,-0.05501843866945658,-0.08764279192883542,0.050324262085246506,0.31138130140569953,-0.12094682311227914,-0.2590852494783573,0.2868143561688265,0.15361837190544206,-0.024796528051770957,,,-0.03513060085198753,0.2957439565199027,-0.08482754839870163,0.02479652805177102,,0.14593977951325374,-0.08482754839870162,0.024796528051770964,-0.3832632078520461,-0.05501843866945654,,0.29065813109100846,-0.05501843866945663,-0.055848515428272905,0.4374312011276422,-0.3442770928633952,0.0985407062200584,-0.2590852494783573,,-0.024796528051770957,,-0.10856218727908505,-0.12094682311227929,,0.03513060085198755,0.02479652805177099,0.27114686359568424,0.03513060085198757,0.07103191435893072,
CE8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CE9,0.008827004392484683,0.00882700439248463,0.08688157612768031,0.07576716982439931,0.14876670834303876,,0.015400012970238687,-0.0062304388972322326,0.008827004392484497,0.11416185817797685,-0.008827004392484676,-0.006230438897232228,-0.00882700439248478,0.030389407325174117,0.043103617556326024,,1.0,,-0.006230438897232233,,-0.10785439814564005,,0.026458628546930173,0.09550012360310473,,0.043103617556325996,0.014032640462829515,-0.14522614337295342,-0.01784766001283482,,,0.10148653397172408,-0.2410185148819844,,,-0.1892706590937423,-0.028863504917705795,-0.006230438897232233,-0.012528416922183224,-0.031132794082916797,0.028863504917705556,0.12374101448390039,-0.021044613082777178,-0.026458628546930228,-0.010830324909747476,-0.02104461308277719,0.032585219959042004,0.012528416922183195,-0.01083032490974728,0.32611311672683496,0.02202135148740796,-0.03113279408291668,0.022021351487408157,0.030389407325174162,0.0757671698243997,-0.08752413219592925,0.018965196730842945,0.006230438897231969,,,0.00882700439248481,0.03738263338339183,-0.008827004392484678,-0.0062304388972316774,,0.03329588466527689,-0.008827004392484994,-0.006230438897232233,-0.06352028752422943,-0.010830324909747177,,0.012528416922183068,-0.010830324909747491,0.014032640462829836,0.09012626521891677,-0.05492418267431056,-0.024759589234118987,0.0757671698243997,,0.006230438897232034,,0.027277612131020923,0.030389407325174575,,-0.00882700439248452,-0.006230438897231781,-0.06812905267551524,-0.008827004392484808,-0.017847660012835137,
GH1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GH102,0.005077974296364717,0.0050779742963647165,0.04998098910878837,-0.0822313795232397,-0.041880599272690076,,0.008859276210753206,-0.0035842293906812144,0.005077974296364717,-0.015692188097862485,-0.005077974296364705,1.0,0.7058384271946796,0.0174823328977123,0.024796528051770964,,-0.006230438897232233,,1.0,,0.057767128687870116,,0.015221045521712762,-0.06524011343823446,,0.024796528051770964,0.008072657994941557,0.042901634323729516,0.3490899587257618,,,-0.034235857976106794,0.025850457589462632,,,0.03291814445548141,0.21585870860091105,1.0,0.4973045625740722,-0.01790998634391324,0.016604516046223802,-0.05035063695911912,-0.012106485910697363,-0.015221045521713009,-0.006230438897232055,-0.012106485910697424,0.018745533822808597,0.007207312501073479,-0.006230438897231921,-0.006230438897232143,0.012668381236954377,-0.017909986343913123,-0.28292718095865044,0.017482332897712328,0.04358712466532361,-0.050350636959118844,0.010910245111774575,0.003584229390681083,,,0.005077974296364716,-0.1666666666666669,-0.005077974296364912,-0.0035842293906813674,,0.019154363019117517,-0.005077974296364625,1.0,0.09808581069245648,-0.00623043889723213,,0.007207312501073667,-0.006230438897232081,0.008072657994941458,-0.06913011298202833,-0.03159662955491911,0.2516374095837719,0.04358712466532361,,0.003584229390681082,,0.015692188097862353,0.017482332897712713,,-0.0050779742963646055,-0.0035842293906813674,0.09145054352812251,-0.005077974296364354,0.34908995872576193,
GH103,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
